Title,Company,Description,Salary,Deadline,Locations,Mode,Type,Gender,Experience,Field_Of_Interests,Source
Clinical Trials Assistant (Fixed-Term 12-month contract),IQVIA,"As our business grows, we are looking to further strengthen our Clinical Operations team in IQVIA Pakistan by hiring a 12-month fixed-term contract Clinical Trials Assistant (CTA) in Karachi.   You will perform daily administrative activities, in conjunction with the Clinical Research Associates and Regulatory and Start-Up teams, to ensure a complete and accurate Trial Master File delivery.   Key Responsibilities:   Key Requirements:   IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com ",Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=128463e7e7cd5926&fccid=6b7a1dfe07e7f037&vjs=3
Amazon Product Research,Utopia Industries Pvt Ltd,"Job Title: Product Researcher About Amazon: Amazon is a global technology and e-commerce company that strives to be Earth's most customer-centric company. We are known for our innovative products, customer obsession, and commitment to sustainability. At Amazon, you'll find a dynamic and fast-paced environment where creativity and innovation are encouraged, and where you can make a significant impact on the future of retail and technology. Job Description: Amazon is seeking a Product Researcher to join our growing team. As a Product Researcher, you will play a crucial role in helping us understand customer needs, market trends, and competitive landscapes to drive product development decisions. You will be responsible for conducting comprehensive research and analysis to support our product teams in creating customer-focused solutions. Key Responsibilities: Market Research: Conduct in-depth market research to identify emerging trends, customer needs, and competitive products and services. Analyze data and provide insights to guide product development strategies. Customer Insights: Collaborate with cross-functional teams to gather and synthesize customer feedback, conducting user surveys, interviews, and usability studies to inform product improvements. Competitive Analysis: Monitor and analyze the competitive landscape, identifying strengths, weaknesses, and opportunities. Provide recommendations on positioning and differentiating Amazon's products. Data Analysis: Analyze and interpret data from various sources, including sales data, customer reviews, and website analytics, to extract actionable insights. Product Strategy: Assist in defining product strategies and roadmaps based on research findings, working closely with product managers and designers. Report Generation: Prepare and deliver clear and concise reports and presentations to communicate research findings and recommendations to stakeholders at all levels. Cross-functional Collaboration:Collaborate with engineering, design, marketing, and business teams to ensure that research insights are integrated into product development processes. Qualifications: Bachelor's degree in a relevant field such as market research, business, or social sciences. Master's degree preferred. 3+ years of experience in product research, market research, or related roles. Strong analytical and problem-solving skills, with the ability to turn data into actionable insights. Proficiency in research methodologies, both qualitative and quantitative, and experience with research tools and software. Excellent communication skills, with the ability to effectively present complex information to diverse audiences. Self-motivated and able to work independently as well as collaboratively in a team. Familiarity with e-commerce and technology industries is a plus. Strong attention to detail and the ability to manage multiple projects simultaneously. Job Type: Full-time Pay: Rs100,000.00 - Rs150,000.00 per month Application Question(s): ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/UTOPIA-INDUSTRIES-PVT-LTD/jobs/Researcher-ba3aeca08add363f?fccid=b5d36ad9dfaa2de3&vjs=3
Risk Analyst - MEA Hub,GSK," Job Purpose  This role provides effective risk management and finance controls support to GSK business units, covering all processes performed in the Regional Hub as well as business specific finance risk and controls activities in the markets. In particular, the role will support to ensure risk management support to the hub team to ensure risk mitigation, root cause analysis and related mitigations, overall process and control deficiencies remediation, and reporting on overall status of control environment for the business unit and/or assigned process.   The role is also responsible for partnering with the relevant global finance process owners and/or finance operational leads any other relevant finance process organizations to ensure identified solutions mitigate the risk, and to support implementation and embedding key control initiatives associated with GSK finance policies and standards.   Education, Experience & Skills:  Master’s degree & further education with a Professional Accounting/ Auditing qualification/ CA, CPA, ACA, ACCA, CIA, etc.  Minimum of 2-5 years post qualification or post MBA experience in internal or external audit, SOX compliance programmes, governance, and/or internal controls.  Experience in use of technology and data analytics with a risk focus  Good communication skills  Key responsibilities:  Provide risk management support on remediation activities related to control deficiencies and/or process gaps to ensure adequate risk mitigation and track activities until remediation closure.  Utilize data tools and integrated systems to extract meaningful analytics which enhance control measures, assist in identifying patterns and anomalies and improve overall risk management.  Plan, coordinate, and review controls testing activities performed by a third party and corresponding reporting of control deficiencies to management.  Ensure GSK control framework adequately addresses finance risks in the relevant GSK Business Unit, in line with GSK global standards and expectations.  Manage and maintain controls master data in relevant tools and propose/adopt new technology to improve automation and efficiency of risk and control activities.  Drive compliance and risk mitigation initiatives at the hub and/or global process tower  Drive access management related controls (Segregation of Duties, Periodic review of end user access) within the business.  Stakeholder management re. to process owners and control owners in the hub and related finance third party.  Support Enterprise Risk Management and relevant operational risk mitigation activities by actively contributing to the Hub Risk Management and Compliance Board (RMCB) and support the local markets or relevant Business Unit in preparation of their local risk management and compliance boards (RMCBs).  Support external financial audit, and other internal or external bodies involved in financial risks and controls, to reduce impact to business, increase reliance, and align on auditor’s assessment of the finance control environment for SOX reporting purposes.  Why Us?  GSK is a global biopharma company with a special purpose – to unite science, technology and talent to get ahead of disease together – so we can positively impact the health of billions of people and deliver stronger, more sustainable shareholder returns – as an organization where people can thrive. Getting ahead means preventing disease as well as treating it, and we aim to positively impact the health of 2.5 billion people by the end of 2030.   Our success absolutely depends on our people. While getting ahead of disease together is about our ambition for patients and shareholders, it’s also about making GSK a place where people can thrive. We want GSK to be a workplace where everyone can feel a sense of belonging and thrive as set out in our Equal and Inclusive Treatment of Employees policy. We’re committed to being more proactive at all levels so that our workforce reflects the communities we work and hire in, and our GSK leadership reflects our GSK workforce.   Contact information:  You may apply for this position online by selecting the Apply now button.   Important notice to Employment businesses/ Agencies  GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site. ",,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=7355b1f81ae37f3c&fccid=4e42ec53f4b93e02&vjs=3
Trainee DBA,Contour Software,,Internship,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=42745526d8967b8e&fccid=a1cf3602cc601f16&vjs=3
System Engineer-Microsoft,Innolytix Pakistan," Being a Microsoft Gold Partner, we’re committed to deliver exceptional end user technology, by aligning to and adopting the latest Microsoft technologies. If you have an eagerness to learn new technologies, take on new challenges, and drive key initiatives with the view to ensure the long-term success of customers and the company, then you will be a person our customers’ trust.  No. of positions: 2 Location: Karachi Responsibilities: Qualifications & Experience: ",,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=6fb1298502ff2d47&fccid=99633675b52600f3&vjs=3
Clinical Research Associate (Fixed-Term 12-month contract),IQVIA,"As our business grows, we are looking to further strengthen our Clinical Operations team in IQVIA Pakistan. We have a number of great opportunities for Clinical Research Associate and Senior Clinical Research Associate in Karachi.  You will perform monitoring and site management work to ensure that sites are conducting the study(ies) and reporting study data as required by the study protocol, applicable regulations and guidelines, and sponsor requirements.   Responsibilities:   Requirements:   #CRAFSAJD  #CRASDAJD   IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com ",Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=ad1a35587e8465b3&fccid=6b7a1dfe07e7f037&vjs=3
Data Analyst,Agency Partner Interactive,"Job Summary:  We are seeking a highly skilled Data Analyst to join our team. The ideal candidate should be proficient in data modeling, SQL scripting, and data architecture, with additional proficiency in Tableau being an asset. As a Data Analyst, you will play a pivotal role in translating complex data into actionable insights that drive informed business decisions.  Functional Responsibilities:  Required Qualification: Required Skills:  ",,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=b14b1f4cc126bc5d&fccid=b33f02fe7dd6d60b&vjs=3
Senior Data Engineer,Cooperative Computing,"Who we are Cooperative Computing (C|C) is a digital enablement organization enabling organizations to effectively operate in the automated economy. The future of business is in maximizing relationships through the effective use of technology. With our clients, we discover, strategically engineer a digital strategy and enable these strategies through the implementation of best-in-class applications to achieve clients 10x growth. Our performance culture is built through our team members, working together to help our clients succeed. We inspire growth with our team members in delivering fanatical and passionate client experiences, knowing effective technology is built with and for people. Our Values: Life at CC: Life at CC is a fusion of ambition, recognition, and lifestyle, where your career takes flight. We champion a high-performance culture with top-tier compensation and flexible working models. With us, enjoy robust benefits, milestone celebrations, and unparalleled learning opportunities. We foster a vibrant community through dynamic team activities. Join CC - embark on a journey where every day is rewarding and growth is a guaranteed promise. About the Role: The Data Engineer position at our company entails joining a dedicated team of analytics professionals. The role is primarily focused on broadening and enhancing our data and data pipeline architecture while streamlining data flow and collection for multiple functional teams. The successful candidate will play a vital role in creating an environment that supports optimal data extraction, transformation, and loading from diverse data sources. Mission: The Data Engineer's mission is to ensure an optimal data pipeline architecture and gather complex data sets that meet the business's functional and non-functional requirements. Their goal is to identify, design, and implement internal process improvements, automate manual processes, enhance data delivery, and re-architect infrastructure for greater scalability. Capabilities (Key Behaviors): The Data Engineer will exhibit the following capabilities: Results: Job Type: Full-time Application Question(s): Experience: ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/Cooperative-Computing/jobs/Data-Engineer-adde7ae9ea265ded?fccid=73bb982b24572c1f&vjs=3
Product Support Engineer,Horizon Technologies,"North American Health care customer is looking to transform the Fertility space. We are looking to support our customer in building digital products for their clinics and customers. We are on a mission to make a global impact on health care in North America and as we are growing rapidly, we are looking for Product Support Engineer to handle tech requests filed by end-users of a company's product or systems You are responsible for troubleshooting and resolving product issues and readily suggest improvements, including customer features. You are comfortable developing solutions or pass the problem along to other engineering team members and provide users with progress updates. We are very much focused on accuracy, attention to detail and timeliness as you seamlessly fit within our sprint process and agile methodology and finally, you’re eager to share your ideas and experiences to help continuously improve as an individual and help your team grow. Roles & Responsibilities: Skills & Requirements: NOTE: Karachi based on-site role, office is located in PECHS block 6 near main Baloch Colony Shahrae Faisal.Working hours will be from 6pm - 3am (Monday - Friday) Job Type: Full-time Salary: Rs100,000.00 - Rs120,000.00 per month Education: Experience: Shift availability: ","Rs 100,000 - Rs 120,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/PlegoTechnologies/jobs/Product-Support-808d737bf9e648e5?fccid=a88ec61a9fa2633e&vjs=3
Mindshare | Digital Lead,Mindshare," More about Mindshare  We were born in Asia in 1997 and for more than 20 years our values of Speed, Teamwork and Provocation have guided us in a world where everything is media. We are the Cannes Lions Media Network of the Year 2019 and WARC Media 100 #1 Media Network 2020, with the top 3 most creative campaigns in the world for the past year. In Asia Pacific we have been Campaign Asia’s Media Agency Network of the Year every year since 2015 and we are also Performance Agency of the Year.  Our 10,000 people work with some of the world’s best brands and companies to accelerate their growth. In 116 offices across 86 countries we integrate brand and demand, ruthlessly focus on outcomes and create the unexpected. We manage $24bn in billings and are the largest media agency in GroupM, WPP’s Media Investment Management arm, which is the #1 media holding group globally with billings of $63bn (Source: COMvergence 2019).  Hear our stories (and join us) at www.mindshareworld.com and follow us at: WeChat ID: Mindshare China; Instagram and Twitter: @mindshare; Facebook: facebook.com/mindshare and Linkedin: LinkedIn.com/company/mindshare.  About Pakistan  GroupM Pakistan is the leading global media investment management operation in Pakistan. We see major growth coming on Digital platforms with internet penetration growing to 87 million broadband users and 85 million 3G/4G subscribers.  Social media platforms have also grown substantially in Pakistan where Facebook stands at 34 million subscribers and Tik Tok has replaced Instagram to become the second most penetrated social platform. While the digitalization of the market is happening at a fast pace, it has also opened up opportunities for specializations like e-commerce, Digital Content, Video Planning solutions, Technology and Data & Analytics in Pakistan. GroupM Pakistan is a closely knit community where we value differences in opinions and thrive amidst this growth. Be a part of our dynamic team now!  GroupM is an equal opportunity employer. We view everyone as an individual and we understand that inclusion is more than just diversity – it’s about belonging. We celebrate the fact that everyone is unique and that’s what makes us so good at what we do. We pride ourselves on being a company that embraces difference and truly represents the global clients we work with. ",Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=70c5d2e59706f43d&fccid=feb484a8aef310be&vjs=3
PL/SQL Developer,Techtiera Sdn Bhd,"Responsibilities: Requirements: Job Type: TemporaryContract length: 12 months Salary: Up to Rs200,000.00 per month Application Question(s): Experience: Application Deadline: 30/09/2023 ",Temporary,,Karachi,,,,,,https://pk.indeed.com/company/Techtiera-Sdn-Bhd/jobs/Oracle-PL-SQL-Developer-c45affcdbe899175?fccid=b61face16f4785a2&vjs=3
Junior Quality Associate,GfK,,Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=cc0a527cc5e8309e&fccid=941c4fb004be80b8&vjs=3
Machine Learning Engineer,FAME ITECH,"Job Description: We are looking for a talented and enthusiastic Machine Learning Engineer to join our team. The ideal candidate will have a strong background in machine learning, data science, and software engineering. As a Machine Learning Engineer, you will be responsible for designing, developing, and implementing machine learning models and solutions that drive innovation and solve complex problems in our organization. Key Responsibilities: Qualifications: Preferred Qualifications: Salary Range: 200,00 to 300,00 per month, commensurate with experience and qualifications. Job Type: Full-time Salary: From Rs200,000.00 per month Ability to commute/relocate: ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/FAME-ITECH/jobs/Machine-Learning-Engineer-7b34e831c86d62bc?fccid=e0ce81659926da6a&vjs=3
SQL Developer,ABTACH Ltd,"Job Title: SQL DeveloperLocation: KorangiExperience: 2-3 yearsSalary: Market Competitive **Job Description:** We are seeking a talented and motivated SQL Developer to join our dynamic team in Korangi. The ideal candidate should have 1-2 years of experience in SQL development, a strong understanding of database management systems, and a passion for data analysis and optimization. **Key Responsibilities:** 1. Develop, maintain, and optimize SQL queries and scripts for data extraction, transformation, and loading (ETL) processes.2. Design and implement database schemas, tables, and views to support application requirements.3. Ensure data accuracy, integrity, and security by implementing appropriate data validation and encryption measures.4. Collaborate with cross-functional teams to gather and analyze data requirements for various projects.5. Performance tuning of SQL queries to enhance database performance and response times.6. Troubleshoot and resolve database-related issues and errors in a timely manner.7. Create and maintain documentation for database processes, procedures, and best practices.8. Stay up-to-date with industry trends and emerging technologies in database development. **Qualifications:** 1. Bachelor's degree in Computer Science, Information Technology, or a related field.2. Proven experience as a SQL Developer with 1-2 years of hands-on SQL development experience.3. Strong knowledge of SQL, T-SQL, and database management systems (e.g., Microsoft SQL Server, MySQL, PostgreSQL).4. Familiarity with ETL processes and tools.5. Proficiency in data modeling and database design.6. Basic understanding of software development and programming concepts.7. Excellent problem-solving and analytical skills. If you are a skilled SQL Developer with 1-2 years of experience and are ready to contribute to exciting projects in a dynamic organization, we encourage you to apply. Job Type: Full-time Pay: Rs80,000.00 - Rs100,000.00 per month Ability to commute/relocate: Application Question(s): ","Rs 80,000 - Rs 100,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Intermarket-International/jobs/SQL-Developer-f69707a43142fb29?fccid=0afc48b0694c9f8e&vjs=3
Head IT & Infrastructure,360 Human Capital solutions pvt ltd,"Head IT & Infrastructure  Our Client a reputed name in financial services industry is seeking to hire Head IT & Infrastructure for their Head Office in Karachi. Job Description:  (installation to decommissioning) of our server and network fleet at scale Job Specification: Information Systems, Information Technology, Business, Business/Administration. Send your Resumes in MS Word format to jobs@hcspak.com  Note: Only shortlisted candidates will be contacted Job Type: Full-time ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/360-Human-Capital-solutions-pvt-ltd/jobs/Head-of-IT-d158aa8102c016ad?fccid=a6eb9ab082ebcacb&vjs=3
System Engineer,The Career Shell,"GENERAL FUNCTION: System engineers provide support for network & system security with innovative technologies and associated services, in addition, the incumbent should be aware of network accessories such as Firewalls, Routers, switches, etc. MAJOR DUTIES & RESPONSIBILITIES: EDUCATION: Skill Requirement: Job Type: Full-time Salary: Up to Rs250,000.00 per month Education: Experience: ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/The-Career-Shell/jobs/System-Engineer-2ee1cbcc688c006e?fccid=ba958222b00f6636&vjs=3
Senior Technical Project Manager,Northbay,,Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=d0ae9594498bf316&fccid=b952098a23fde68c&vjs=3
CCC Analyst,GSK," Job Purpose  The CCC analyst job purpose is to smoothly execute CCC (Core commercial cycle) activities related to demand forecasting and provide analytical support to the business.   Education, Experience & Skills  Bachelors or master's degree in Statistics, Mathematics, Analytics  Minimum 1-2 years practical experience in running analytical processes in CCC, ideally in a pharmaceutical’s organization.  Highly numerate with knowledge of analytical tools (excel/PowerBI) & Knowledge of SAP APO/IBP system.   Key Responsibilities  Preparation of Pre- DRM tools and reports to support core commercial cycle.  Collect Market Intelligence, upload in SAP-APO and ensure data is accurately published in required APO systems (SCP/IP)  Deliver data accuracy and manage exception reports (History, Sales, KPI validations, CVC Maintenance/DQIT etc in SAP APO/IBP)  Prepare and manage data bases/repositories for CCC reports.  Coordinate with relevant data owners to ensure data consistency in SAP APO/IBP  Preparation of standard dashboard and slide deck for functional users as per set frequency for monthly CCC meetings  Actively resolve and escalate system/technical issues for timely execution of CCC activities.  Why Us?  GSK is a global biopharma company with a special purpose – to unite science, technology and talent to get ahead of disease together – so we can positively impact the health of billions of people and deliver stronger, more sustainable shareholder returns – as an organization where people can thrive. Getting ahead means preventing disease as well as treating it, and we aim to positively impact the health of 2.5 billion people by the end of 2030.   Our success absolutely depends on our people. While getting ahead of disease together is about our ambition for patients and shareholders, it’s also about making GSK a place where people can thrive. We want GSK to be a workplace where everyone can feel a sense of belonging and thrive as set out in our Equal and Inclusive Treatment of Employees policy. We’re committed to being more proactive at all levels so that our workforce reflects the communities we work and hire in, and our GSK leadership reflects our GSK workforce.   Contact information:  You may apply for this position online by selecting the Apply now button.   Important notice to Employment businesses/ Agencies  GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site. ",,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=71b776384103d340&fccid=4e42ec53f4b93e02&vjs=3
Social Media Manager Head,GFS Builders and Developers,"GFS Builders and Developers has an exciting opportunity for you! We are currently looking for a skilled and enthusiastic male Social Media Manager to join our team at our office gulshan e jamal, Karachi. Responsibilities: As a male Social Media Manager at GFS Builders and Developers, you will be responsible for managing and executing social media strategies to enhance brand visibility and engagement. Must be able to generate leads Your key duties will include, but are not limited to: Creating and curating engaging content for various social media platforms, including Facebook, Instagram, Twitter, LinkedIn, etc. Developing and implementing social media campaigns to drive audience growth and increase brand awareness. Monitoring social media analytics and insights to measure the effectiveness of campaigns and make data-driven improvements. Interacting with the online community, responding to comments, messages, and inquiries promptly and professionally. Collaborating with the marketing team to align social media efforts with overall marketing objectives. Assisting in project management tasks, coordinating timelines, and ensuring projects are delivered on time and within budget. Experience: 4 to 5 years Requirements: To be successful in this role, you should possess the following qualifications: A Bachelor's degree in Media Science or a related field. Proven experience in managing social media accounts and creating engaging content. Solid understanding of various social media platforms, trends, and best practices. Excellent written and verbal communication skills in English. Job Type: Full-time Salary: Rs18,903.45 - Rs71,412.02 per month Ability to commute/relocate: ","Rs 18,903 - Rs 71,412 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/GFS-Builders-and-Developers/jobs/Social-Media-Manager-3c8a69a88869fa71?fccid=133f45de7a06ff88&vjs=3
Software Engineer,ONE Technology Services,"At ONE Technology Services, we are seeking a talented and highly motivated Software Engineer with expertise in C#, SQL, and Power BI to join our dynamic team. As a Software Engineer, you will play a crucial role in designing, developing, and maintaining software solutions that drive our organization's success. Your expertise in C#, SQL, and Power BI will be essential in creating efficient and robust applications, data analysis tools, and reporting solutions. Eligibility/ Qualifications: What you'll do: What we offer: Job Type: Full-time ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/ONE-Technology-Services/jobs/Software-Engineer-b0c566244c234f59?fccid=d45c4225394c27bf&vjs=3
IT Network Administrator Officer,Steps Ahead Private Limited,"RESPONSIBILITIES: REQUIREMENTS: Location: Karachi Send your Resume at: hr@stepsahead.com.pk Job Type: Full-time Salary: Rs40,000.00 - Rs45,000.00 per month Experience: Application Deadline: 17/09/2023 ","Rs 40,000 - Rs 45,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Steps-Ahead-Private-Limited/jobs/Network-Administrator-777e555985ec2913?fccid=3bb4b4feecb97eb3&vjs=3
Network Infrastructure Administrator,Al-Razzaq Fibres (Pvt) Limited - SAYA,"Education:- Bachelor's degree in Computer Science, Information Technology, or a related field.Experience:- 6 to 7 years proven experience as a Network Infrastructure Administrator or in a similar role. Job Responsibilities: Skills Required:- Job Type: Full-time Salary: Rs100,000.00 - Rs150,000.00 per month Ability to commute/relocate: ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/Al--Razzaq-Fibres-(Pvt)-Limited---SAYA/jobs/Network-Administrator-54b91e9438f9f058?fccid=4305329660211481&vjs=3
Network & Cyber Security Specialist,Appedology PVT Ltd.,"The Cyber & Infrastructure Security Specialist is responsible for the design, implementation, and maintenance of the company's cyber and infrastructure security programs. This includes developing and implementing security policies and procedures, conducting vulnerability assessments, and responding to security incidents. The ideal candidate will have a strong understanding of cyber security principles and practices, as well as experience with a variety of security technologies. Responsibilities: Qualifications: Timings: 3 pm - 12 pm (Mon - Fri) Job Type: Full-time Salary: Rs80,000.00 - Rs120,000.00 per month ","Rs 80,000 - Rs 120,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Appedology-PVT-Ltd./jobs/IT-Security-Specialist-15932c5543a0a3ef?fccid=e2fe2b8d82d9ec39&vjs=3
Senior Data Analyst,Celeritas,"Job Description for Senior Data Analyst Job Description Celeritas is looking for a strong candidate that forms a key part of our Data team, enabling us in achieving the business goals. The candidate can also carry out all tasks related to Data & Business Intelligence & ML. Senior data analysts will be responsible for analyzing and interpreting large amounts of data. You will commonly work with a variety of different types of data, including customer information, sales figures, financial records, etc. Job Responsibilities: A senior data analyst typically has a wide range of responsibilities, which can include: Requirement: What you get in return: As a team member, you’ll work in a fast-paced corporate environment and make an impact on our business, contributing to the success of our company. Through on-the-job training and learning opportunities, you will develop valuable skills for the future. Benefits: Job Type: Full-time Job Type: Full-time ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/Celeritas/jobs/Senior-Data-Analyst-11d18ae4c824a68d?fccid=ecdf68d3604d4043&vjs=3
Data Quality Manager,Hasnain Tanweer Associates (HTA),"Data Quality Manager Job is available in Karachi for an MNC in Pakistan. An ideal candidate should have MSc/ BSc degree in Computer science/ data analytics along with 4 to 6 Years of relevant work experience with large-scale organizations in data collection, and in determining data quality and integrity.  Data Quality Manager Job role is to run data queries to identify coding issues, data exceptions, well and cleaning data, and to run statistical tests on large datasets to determine data quality and integrity.   Job Responsibilities:   Skills:   Apply at fahad@hasnain.biz  Kindly mention the job title Data Quality Manager in the email ",Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=ac737f03e48f2aad&fccid=ba5912427a8e8cb8&vjs=3
Clinical Research Associate (Fixed-Term 12-month contract),Novasyte,,Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=c1553b1e9241365f&fccid=e140dc1092722178&vjs=3
SQA Trainee,Contour Software,,Internship,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=a1161aae9491cf72&fccid=a1cf3602cc601f16&vjs=3
Clinical Trials Assistant (Fixed-Term 12-month contract),Novasyte,,Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=51b1a335af8c8b8a&fccid=e140dc1092722178&vjs=3
Jnr Business Intelligence Analyst,Human Resource Solution (Pvt.) Ltd.,"Jr. BI Analyst Job description: · Collaborate with cross-functional teams to gather and understand business requirements for data analysis and reporting. · Execute data extraction, transformation, and loading processes from multiple sources into the BI system. · Develop and maintain SQL queries for data retrieval and manipulation to support reporting needs. · Create, modify, and optimize Excel spreadsheets for data analysis and presentation purposes. · Assist in generating regular and ad-hoc reports, dashboards, and visualizations to provide actionable insights to stakeholders. · Identify trends, patterns, and anomalies within the data to contribute to decision-making processes. · Participate in data quality and validation efforts to ensure accuracy and reliability of reporting outputs. · Stay up-to-date with industry trends and best practices in business intelligence and data analysis. · Support senior analysts in data-driven projects and collaborate on data-related initiatives. · Actively contribute to process improvement efforts to enhance the efficiency and effectiveness of data analysis workflows. · The candidate will need to utilize SQL and intermediate to advanced level MS Excel for processing and analyzing data. · Attention to detail is crucial for identifying issues within data trends. · Generating reports and dashboards that offer valuable insights will be part of the candidate's role. · Analyzing business requirements and processes will be a key responsibility. Requirements: · Bachelor's degree in a related field such as Computer Science, Business Analytics or Information System. · Strong proficiency in SQL, with the ability to write complex queries for data extraction, transformation, and analysis. · Advanced knowledge of Microsoft Excel, including formulas, pivot tables, and data visualization techniques. · Basic understanding of business intelligence concepts and data warehousing principles. · Familiarity with data visualization tools (e.g., Tableau, Power BI) is a plus. · Excellent analytical and problem-solving skills with a keen attention to detail. · Strong communication skills to effectively collaborate with team members and stakeholders. · Ability to work independently and as part of a team in a fast-paced environment. · Eagerness to learn and adapt to new technologies and tools. · Strong organizational skills and the ability to manage multiple tasks simultaneously. · Prior experience with data analysis, reporting, or business intelligence is a plus. Job Type: Full-time Salary: Rs60,000.00 - Rs90,000.00 per month Ability to commute/relocate: Education: Experience: ","Rs 60,000 - Rs 90,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Human-Resource-Solution-(Pvt.)-Ltd./jobs/Business-Intelligence-Analyst-1d870b7102c27923?fccid=0b6a0aacc7516166&vjs=3
Junior Quality Associate,GfK,,Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=cc0a527cc5e8309e&fccid=941c4fb004be80b8&vjs=3
Data Quality Manager,Hasnain Tanweer Associates (HTA),"Data Quality Manager Job is available in Karachi for an MNC in Pakistan. An ideal candidate should have MSc/ BSc degree in Computer science/ data analytics along with 4 to 6 Years of relevant work experience with large-scale organizations in data collection, and in determining data quality and integrity.  Data Quality Manager Job role is to run data queries to identify coding issues, data exceptions, well and cleaning data, and to run statistical tests on large datasets to determine data quality and integrity.   Job Responsibilities:   Skills:   Apply at fahad@hasnain.biz  Kindly mention the job title Data Quality Manager in the email ",Full-time,,Karachi,,,,,,https://pk.indeed.com/rc/clk?jk=ac737f03e48f2aad&fccid=ba5912427a8e8cb8&vjs=3
Mobile App Developer,Novus Altair,"Background To complete Online Assessment, visit our 'Careers web page'. Job Description Qualifications Essential Desirable Background, skills, and experience Evidence of background, qualifications, skills and experience will be assessed against your application and references provided. Personal qualities will be assessed against references and your performance at interview. Job Types: Contract, Full-time Salary: From Rs125,000.00 per month ","Rs 125,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Novus-Altair/jobs/Application-Developer-cb7c88e66e17e18a?fccid=b2a48a33c70b22a9&vjs=3
